Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
2,BANBRIDGE,FU,143,57.5,57.5,0.0,-6.0,0.0,0.0,1.5,0.0,53.0,0.0,59.6,$1.70
9,WESTERN FOLD,FU,126,57.0,57.0,0.0,-6.0,0.5,-1.5,0.0,0.0,50.0,3.0,23.8,$4.20
1,ANTRIM COAST,3,32,40.5,23.5,0.0,-1.5,0.0,0.0,-1.0,0.0,21.0,32.0,0.6,$201.00
3,BARTHOLOMEW,FU,122,43.0,43.0,0.0,-6.0,0.0,0.0,1.0,0.0,38.0,15.0,0.6,$201.00
4,DEE BEE ZED,3,59,32.0,32.0,0.0,-3.0,0.0,-0.5,-0.5,0.0,28.0,25.0,0.6,$201.00
5,FIGERO,6,22,32.5,32.5,-2.0,0.0,0.0,0.0,1.0,0.0,31.5,21.5,0.6,$201.00
6,JOE COOL,FU,73,35.5,35.5,0.0,-6.0,0.0,-1.0,1.5,0.0,30.0,23.0,0.6,$201.00
7,NAVY GUITAR,FU,325,19.5,19.5,0.0,-6.0,0.0,-1.5,0.5,0.0,12.5,40.5,0.6,$201.00
8,PATH D'OROUX,3,31,44.0,27.0,0.0,-1.5,-0.5,-0.5,0.0,0.0,24.5,28.5,0.6,$201.00
10,BALLYBAWN BELTER,2,32,41.5,27.0,0.0,-1.5,0.0,0.0,-0.5,0.0,25.0,28.0,0.6,$201.00
11,FRAHER FIELD,7,19,35.0,27.0,-2.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,0.6,$201.00
12,KALEO AMETSA,5,17,27.0,27.0,0.5,0.0,0.0,0.0,-0.5,0.0,27.0,26.0,0.6,$201.00
13,RUN FOR MAHLER,6,19,42.0,19.5,-3.0,0.0,0.5,-1.0,0.5,0.0,16.5,36.5,0.6,$201.00
14,THISISTHEWAY,3,33,41.0,41.0,0.0,-1.5,0.0,-0.5,1.5,0.0,40.5,scr,scr,scr
15,NOTHINGBUTADREAM,3,1,0.0,10.0,1.5,0.0,0.0,0.0,-0.5,0.0,11.0,scr,scr,scr
16,GOODIE GIRL,4,19,25.5,25.5,-3.0,0.0,0.0,0.0,-1.0,1.5,23.0,scr,scr,scr
17,SET TO WIN,FU,818,0.0,27.0,0.0,-6.0,0.0,0.0,-0.5,0.0,20.5,scr,scr,scr

