Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
12,DUSKWIND,FU,0,,23.5,0.0,0.0,0.0,0.0,1.5,0.0,25.0,3.0,7.3,$14.00
9,EMERALD ANGEL,2,25,22.0,22.0,2.0,0.0,0.0,-0.5,-0.5,0.0,23.0,5.0,2.6,$41.00
1,SILENCIO,2,35,13.5,13.0,0.0,-1.5,0.0,0.0,-0.5,3.5,14.5,13.5,0.2,$501.00
2,GLORY KING,FU,222,23.5,23.5,0.0,-6.0,0.0,0.0,1.0,0.0,18.5,9.5,0.2,$501.00
10,WOODBRIDGE,FU,73,22.5,22.5,0.0,-6.0,0.0,0.0,-0.5,2.5,18.5,9.5,0.2,$501.00
5,D'ARTAGNAN,3,22,24.0,24.0,2.0,0.0,0.0,0.0,2.5,0.0,28.5,scr,scr,scr

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
8,JIJI MY LOVE,9,30,30.0,30.0,0.0,-1.5,0.5,0.0,-1.5,0.0,27.5,0.0,50.3,$2.00
3,TRUE VALUE,3,11,27.0,23.0,2.0,0.0,-1.0,0.0,0.0,1.5,25.5,2.0,28.7,$3.50
10,REDRUNNER,18,19,27.0,21.0,0.5,0.0,0.5,0.0,0.0,0.0,22.0,5.5,5.5,$18.00
1,LORD ASRIEL D ALME,2,18,25.0,13.0,4.0,0.0,0.0,0.0,2.5,0.0,19.5,8.0,1.5,$71.00
