Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
10,SHE WENT WHOOSH,24,15,33.5,12.5,-2.0,0.0,-3.0,-0.5,-0.5,0.0,6.5,29.0,0.8,$101.00
11,ROYAL JUSTICE,2,5,0.0,10.0,1.5,0.0,0.0,0.0,-1.0,3.0,13.5,22.0,0.8,$101.00

Tab,Horse,RFS,DLS,12m,BRR,FORM,COND,CONS,BP,JOCK,JC,FR,EM,PER,DIV
1,SANSANETTI,6,17,32.0,29.5,0.5,0.0,1.5,0.0,0.5,0.0,32.0,0.0,60.4,$1.65
3,PHAEDRA,14,59,31.0,31.0,0.0,-3.0,-1.0,0.0,1.0,0.0,28.0,4.0,15.1,$6.50
5,LUAN,5,26,34.0,26.0,-2.0,0.0,0.5,0.0,2.5,0.0,27.0,5.0,8.5,$12.00
6,OTTOMAN,8,23,34.5,19.5,3.5,0.0,-0.5,0.0,2.5,0.0,25.0,7.0,3.0,$31.00
7,SEVENKINGSMUSTDIE,6,43,24.0,24.0,0.0,-1.5,0.0,0.0,0.5,1.5,24.5,7.5,2.4,$41.00
4,BULLDOG SPIRIT,7,20,31.0,25.0,-2.0,0.0,0.0,0.0,-0.5,0.0,22.5,9.5,0.6,$201.00
2,DANCINGONDIAMONDS,5,23,25.0,24.5,1.5,0.0,0.0,0.0,0.0,3.0,29.0,scr,scr,scr

